preset name,cc 0,PGM,type,characters
bitcrush keys,34,17,keys,
bitcrush mod,34,18,keys,echo + lofi + synthetic
blide,34,19,pads,analog + lofi
bouncing pad,34,20,pads,lofi + warm
bow tenor,34,21,bowed,acoustic + clean
brassick,34,22,brass,acoustic + warm
crush 2op,34,23,pads,lofi
crush organ,34,24,organ,distorted + lofi + noise
dakota sunset,34,25,pads,analog + distorted + lofi + warm
diode pwm lead,34,26,lead,analog + portamento + warm
diode pwm pad,34,27,pads,analog + clean + simple
dubby reeds,34,28,flute reeds,acoustic + clean + echo
dx magic,34,29,elec piano,digital + electric + fm
eleclaf,34,30,elec piano,bright + digital + electric
emilia,34,31,pads,analog + bright + simple
epica,34,32,pads,analog + warm
fabulia,34,33,pads lfo,feelgood
resonator,34,34,plucked,clean + intimate
fragilkey,34,34,mallets,lofi
glassilia,34,36,mallets,acoustic + airy + bright + clean + soft
guitararium,34,37,plucked,aggressive + distorted + echo
harplitude,34,38,plucked,acoustic + lofi + metallic
harpoke,34,39,plucked,acoustic + clean + lfo
hide overload,34,40,lead,analog + echo
jenny sync,34,41,keys,aggressive + lfo + synthetic
jueno pad,34,42,pads,analog + clean
justik,34,43,bass,aggressive + analog + distorted + warm
kaladia,34,44,keys,analog
kawaship,34,45,keys,analog + bright + clean + warm
kinell,34,46,mallets,acoustic + bright
kobolid,34,47,lead,analog + reverberant
mafrila,34,48,mallets,acoustic + metallic
marxophone,34,49,plucked,acoustic + lfo + metallic
mascade,34,50,pads,analog + lfo + warm
metallet,34,51,mallets,acoustic + bright + metallic
numana,34,52,pads,analog + ensemble
onereed alto,34,53,brass,acoustic + bright + warm
onereed tenor,34,54,brass,acoustic + metallic
op clav,34,55,keys,bright + clean + digital
paladia,34,56,pads,analog + stereo + warm
photalia,34,57,pads,analog
pitchy place,34,58,sfx,atonal + echo
rock robot,34,59,bass,aggressive + analog + distorted
rusty dissonance,34,60,sfx,atonal + metallic
saxalam,34,61,brass,acoustic
saxman,34,62,brass,acoustic + metallic
shifted wg,34,63,sfx,acoustic + aggressive + distorted + lofi + reverberant
snowflakes,34,64,mallets,acoustic + airy + metallic
solistrings,34,65,pads,analog + ensemble + stereo
soustitre,34,66,pads,analog
stacked osc,34,67,lead,aggressive + analog + ensemble
strikey,34,68,elec piano,bright + electric
synky,34,69,keys,analog
tabernak,34,70,pads,distorted + lofi + stereo
tb keys,34,71,keys,aggressive + analog + distorted
2os,34,72,keys,aggressive + analog + distorted
3os,34,73,keys,analog + distorted + lfo
telecasta,34,74,plucked,acoustic + electric
tesla pad,34,75,sfx,noise + stereo + synthetic
the analog,34,76,pads,analog + ensemble
the touch satur,34,77,plucked,acoustic + echo + intimate + reverberant
tinette,34,78,keys,distorted + electric
transistor pwm,34,79,bass,analog + warm
transitor shimmer keys,34,80,keys,analog + clean + lfo
transmission,34,81,sfx,atonal + lofi + noise
tribol,34,82,mallets,acoustic + bright + metallic
